category,title,url
เศรษฐกิจ การเงิน และอุตสาหกรรม,"ข้อมูลโรงงานประเภท 101, 105 และ 106",https://data.go.th/DatasetDetail.aspx?id=e45451a8-5c3a-4b29-804c-e1c081a69f48
เศรษฐกิจ การเงิน และอุตสาหกรรม,สรุปข้อมูลด้านเศรษฐกิจ,https://data.go.th/DatasetDetail.aspx?id=c14f05d7-bb79-4bf0-95cb-35483b6421ac
เศรษฐกิจ การเงิน และอุตสาหกรรม,ฐานข้อมูลโรงมหรสพ ในเขตกรุงเทพมหานคร ประจำปี ๒๕๕๘,https://data.go.th/DatasetDetail.aspx?id=555dea27-1ceb-4eae-8a18-9409f4a2afd6
เทคโนโลยีสารสนเทศ และการสื่อสาร,รายชื่อที่ทำการ/หน่วยงานของ บริษัท ไปรษณีย์ไทย จำกัด,https://data.go.th/DatasetDetail.aspx?id=681a7595-ec86-448d-91d5-545f8838808f
ภูมิอากาศ และภัยพิบัติ,ข้อมูลนํ้าฝนรวมรายชั่วโมง ปี 2012,https://data.go.th/DatasetDetail.aspx?id=28958c9b-7f68-4fde-bb70-a87a986b07b3
คมนาคม และโลจิสติกส์,จำนวนรถจดทะเบียน (สะสม) ณ วันที่ 30 เมษายน 2559,https://data.go.th/DatasetDetail.aspx?id=88f61d62-cc10-40b0-89ed-6805814a2e52
พลังงาน ทรัพยากรธรรมชาติ และสิ่งแวดล้อม,ข้อมูลคุณภาพอากาศประเทศไทย (PM10) รายชั่วโมง พ.ศ.2557 กรมควบคุมมลพิษ,https://data.go.th/DatasetDetail.aspx?id=55b3500c-7d6f-4dc2-a28b-e1a303ec07fe
เกษตรกรรม และชลประทาน,ทำเนียบสหกรณ์,https://data.go.th/DatasetDetail.aspx?id=1561bfc9-92ea-4ddd-9fe3-1757d0351d48
กฎหมาย ศาล และอาชญากรรม,สรุปผลการดำเนินการมาตรการริบทรัพย์สินจากคดียาเสพติด เดือน ม.ค. - ส.ค. ปี 2558,https://data.go.th/DatasetDetail.aspx?id=2379b312-0af9-405a-ad50-2464444ade1f
พลังงาน ทรัพยากรธรรมชาติ และสิ่งแวดล้อม,ข้อมูลด้านสิ่งแวดล้อม,https://data.go.th/DatasetDetail.aspx?id=bcf93563-f3bc-406c-93ac-7c8699de7773
สถานที่ การท่องเที่ยว และกีฬา,รายชื่อศูนย์พัฒนาครอบครัวในชุมชน เกณฑ์ดีเด่น ประจำปี 2554-2557,https://data.go.th/DatasetDetail.aspx?id=e6ecbc47-38c2-4db2-861e-0ced41749930
เกษตรกรรม และชลประทาน,ข้อมูลการพัฒนาแหล่งน้ำขนาดเล็กกรมพัฒนาที่ดิน ปี 2556-2557,https://data.go.th/DatasetDetail.aspx?id=afe960fc-3aea-462e-b4b7-21574b1e1c0c
ภูมิอากาศ และภัยพิบัติ,ข้อมูลนํ้าฝนรวมรายชั่วโมง ปี 2013,https://data.go.th/DatasetDetail.aspx?id=fb4a2f67-9817-4a5a-9a02-31f239428204
เกษตรกรรม และชลประทาน,ข้อมูลส่งออกอาหารสัตว์,https://data.go.th/DatasetDetail.aspx?id=94a0b576-c3ee-45ec-8de6-d07b55921571
การศึกษา,สถิติการศึกษาต่อของนักเรียนทุนรัฐบาลตามประเทศที่ศึกษาและประเภททุน ในเดือนเมษายน 2558,https://data.go.th/DatasetDetail.aspx?id=4ffae388-9512-426a-b11f-52590e0bf0c6
เศรษฐกิจ การเงิน และอุตสาหกรรม,รายได้ประชาชาติของประเทศไทย แบบปริมาณลูกโซ่ พ.ศ. 2557,https://data.go.th/DatasetDetail.aspx?id=97b7d0d9-8051-42ed-8acc-71a9aca1e3ed
งบประมาณ และการใช้จ่ายของภาครัฐ,รายงานสรุปผลการดำเนินงานจัดซื้อจัดจ้างของสำนักงานปลัดกระทรวงยุติธรรม,https://data.go.th/DatasetDetail.aspx?id=d54b6a0e-0490-4b61-a5a0-83d15459162c
